Diet_type,Cuisine_type,Protein(g),Carbs(g),Fat(g),Cluster
caribbean,mediterranean,22.61,68.6,103.89,8
caribbean,nordic,9.39,47.360000000000014,10.469999999999999,2
caribbean,american,32.24,221.1,103.54,5
caribbean,south american,145.56,240.17,89.14,2
caribbean,italian,5.599999999999994,46.499999999999986,18.340000000000003,6
caribbean,italian,211.11,94.79,61.46,6
caribbean,american,39.45,285.88,109.49,5
caribbean,british,65.92,455.58,158.29,5
caribbean,american,0.9300000000000068,3.0800000000000125,24.310000000000002,5
caribbean,american,16.710000000000008,28.5,15.849999999999994,5
caribbean,american,7.859999999999999,186.18,30.10000000000001,5
caribbean,american,176.97000000000003,10.699999999999989,206.48,5
caribbean,american,18.72,68.14,54.080000000000005,5
caribbean,american,69.56,157.94,257.36,5
caribbean,american,216.95,203.73,178.18,5
caribbean,mexican,156.83,88.03,167.6,8
caribbean,mediterranean,6.760000000000005,17.00999999999999,89.82,8
caribbean,american,54.96000000000001,208.13,49.2,5
caribbean,french,32.74000000000001,3.0800000000000125,69.22,6
caribbean,american,30.230000000000004,191.35,235.63,5
caribbean,mexican,2.1400000000000006,15.789999999999992,116.27,8
caribbean,mexican,159.24,75.82,62.53,8
caribbean,american,368.04,500.49,210.84,4
caribbean,mediterranean,2.819999999999993,17.069999999999993,13.929999999999993,8
caribbean,american,105.25,594.23,700.42,4
caribbean,mexican,52.93,75.7,131.7,8
caribbean,eastern europe,170.21,136.35,196.93,6
caribbean,american,22.75,124.99,146.91,5
caribbean,american,42.18,245.32,90.32,5
caribbean,french,87.75,10.060000000000002,163.03,6
caribbean,american,57.03999999999999,62.66,77.65,5
caribbean,american,35.769999999999996,30.22,88.57,5
caribbean,american,3.280000000000001,32.70000000000002,15.370000000000005,5
caribbean,french,34.1,8.469999999999999,69.53,6
caribbean,american,114.04,148.84,128.75,5
caribbean,south east asian,3.5,40.81,0.35999999999999943,2
caribbean,french,0.09999999999999432,32.28999999999999,27.629999999999995,6
caribbean,french,59.38,43.71000000000001,82.41,6
caribbean,american,41.28,497.12,285.89,4
caribbean,american,24.83,19.77000000000001,90.32,5
caribbean,french,17.819999999999993,77.84,84.12,6
caribbean,mediterranean,0.5300000000000011,2.319999999999993,44.57000000000001,8
caribbean,american,80.48,404.46,410.21,4
caribbean,american,55.16,123.66,244.31,5
caribbean,mediterranean,97.63,88.59,98.0,8
caribbean,american,43.48,81.37,88.44,5
caribbean,italian,165.31,78.63,220.89,6
caribbean,french,33.01,287.56,114.66,6
caribbean,french,21.230000000000004,203.11,42.55,6
caribbean,french,23.429999999999993,183.78,200.78,6
caribbean,american,13.920000000000002,32.74000000000001,26.53,5
caribbean,eastern europe,215.13,36.62999999999998,68.05,6
caribbean,american,61.5,8.580000000000013,184.92,5
caribbean,american,203.61,23.569999999999993,166.41,5
caribbean,chinese,107.83,56.12999999999998,81.39,6
caribbean,american,145.57,27.22,152.88,5
caribbean,american,255.11,99.29,170.32,5
caribbean,british,40.75,33.63000000000001,35.28,5
caribbean,american,96.62,331.56,21.459999999999994,5
caribbean,american,14.219999999999999,33.55,34.47,5
caribbean,japanese,91.88,3.3400000000000034,163.16,6
caribbean,mediterranean,3.299999999999997,13.240000000000009,57.69,8
caribbean,american,1.769999999999996,5.800000000000011,190.1,5
caribbean,nordic,34.01,82.25,27.629999999999995,2
caribbean,american,283.04,85.83,108.96,5
caribbean,american,5.6299999999999955,10.849999999999994,226.21,5
caribbean,american,95.83,139.93,188.95,5
caribbean,american,3.230000000000004,17.659999999999997,45.05,5
caribbean,american,97.48,19.30000000000001,119.43,5
caribbean,italian,126.61,109.21,188.1,6
caribbean,american,244.91,263.45,61.97,5
caribbean,french,97.65,19.099999999999994,76.38,6
caribbean,mediterranean,14.519999999999996,80.91,90.39,8
caribbean,american,48.8,126.11,160.21,5
caribbean,american,171.35,54.47,285.53,5
caribbean,american,45.19,255.14,114.31,5
caribbean,french,106.13,43.27000000000001,214.62,6
caribbean,american,103.97,82.66,131.02,5
caribbean,italian,72.33,48.969999999999985,74.65,6
caribbean,american,37.07,50.04999999999998,35.2,5
caribbean,american,16.510000000000005,257.72,52.790000000000006,5
caribbean,american,42.38,245.47000000000003,161.24,5
caribbean,italian,38.03,1061.5600000000002,199.18,6
caribbean,american,32.3,14.139999999999986,106.85,5
caribbean,british,74.2,336.36,139.83,5
caribbean,french,38.49,111.57,127.66,6
caribbean,italian,271.64,258.95,282.4,6
caribbean,american,105.57,129.65,146.59,5
caribbean,american,27.720000000000006,280.99,138.5,5
caribbean,american,33.1,59.46000000000001,126.68,5
caribbean,american,228.65,25.010000000000005,238.62,5
caribbean,chinese,26.480000000000004,44.849999999999994,16.64999999999999,6
caribbean,italian,83.7,41.65999999999998,96.89,6
caribbean,british,62.83,159.42,66.35,5
caribbean,french,61.73,259.06,224.92,6
caribbean,american,129.28,693.44,243.17000000000002,4
caribbean,french,94.68,90.81,85.8,6
caribbean,american,74.81,272.62,518.78,4
caribbean,italian,81.07,46.83999999999999,114.72,6
caribbean,american,173.86,79.71,130.88,5
caribbean,mexican,46.45,79.45,75.1,8
caribbean,italian,23.39,101.95,147.65,6
caribbean,eastern europe,23.439999999999998,256.29,25.75,6
caribbean,mediterranean,4.180000000000007,14.449999999999989,50.790000000000006,8
caribbean,italian,84.76,50.53999999999999,92.11,6
caribbean,eastern europe,130.93,70.55,203.75,6
caribbean,nordic,95.18,45.50999999999999,55.22,2
caribbean,south east asian,38.7,122.93,71.13,2
caribbean,american,52.77,99.46,150.99,5
caribbean,middle eastern,114.46,52.870000000000005,92.38,8
caribbean,american,43.22,247.39,124.45,5
caribbean,american,60.38,223.26,160.19,5
caribbean,french,44.68,28.950000000000003,73.11,6
caribbean,french,36.839999999999996,126.43,159.07,6
caribbean,american,21.770000000000003,88.19,168.04,5
caribbean,british,47.75,59.33,157.69,5
caribbean,american,48.81,278.15,264.65,5
caribbean,italian,96.21,128.43,115.48,6
caribbean,french,49.16,59.39,182.49,6
caribbean,italian,14.379999999999995,177.86,141.1,6
caribbean,american,2.019999999999996,108.4,14.760000000000005,5
caribbean,asian,13.86,37.91999999999999,7.019999999999996,5
caribbean,american,12.5,36.44000000000001,32.19,5
caribbean,american,208.63,137.91,54.39000000000001,5
caribbean,american,27.93,87.43,751.19,4
caribbean,american,81.02,9.129999999999995,109.01,5
caribbean,american,40.47,56.31999999999998,184.95,5
caribbean,italian,96.21,128.43,115.48,6
caribbean,french,58.09,221.62,168.29,6
caribbean,american,189.22,139.79,190.27,5
caribbean,american,107.96,14.590000000000003,67.22,5
caribbean,american,110.14,57.66,168.1,5
caribbean,american,60.59,289.03,220.89,5
caribbean,american,403.14,254.68,412.96,4
caribbean,british,65.76,53.129999999999995,62.59,5
caribbean,american,184.44,249.2,24.040000000000006,5
caribbean,eastern europe,77.12,79.94,29.489999999999995,6
caribbean,mediterranean,677.22,41.71000000000002,686.9,7
caribbean,mexican,116.96,182.48,163.36,8
caribbean,mexican,90.61,10.47999999999999,51.89,8
caribbean,american,97.93,107.81,116.11,5
caribbean,mediterranean,5.400000000000006,28.180000000000007,31.709999999999994,8
caribbean,american,12.010000000000005,80.23,53.09,5
caribbean,french,191.91000000000003,161.86,143.79,6
caribbean,american,96.82,335.74,291.09,5
caribbean,chinese,56.99,97.39000000000001,56.34,6
caribbean,american,38.1,270.02,232.58,5
caribbean,american,8.379999999999995,178.34,297.71,5
caribbean,french,94.1,15.580000000000013,63.84,6
caribbean,american,143.36,37.650000000000006,172.61,5
caribbean,french,59.12,86.59,200.92,6
caribbean,mediterranean,32.03,272.41,57.65,8
caribbean,italian,53.41,214.31,129.8,6
caribbean,american,90.72,202.74,106.32,5
caribbean,american,74.18,426.76,307.56,4
caribbean,american,81.41,257.6,233.5,5
caribbean,mediterranean,97.79,167.44,112.53,8
caribbean,american,31.060000000000002,10.090000000000003,50.89999999999999,5
caribbean,american,42.79,175.5,44.84,5
caribbean,italian,111.23,259.49,110.34,6
caribbean,american,37.0,58.18000000000001,212.82,5
caribbean,american,22.370000000000005,38.139999999999986,42.75,5
caribbean,nordic,329.12,8.780000000000001,251.77999999999997,7
caribbean,american,105.65,526.6,219.56,4
caribbean,american,62.5,84.87,199.1,5
caribbean,french,226.67,21.539999999999992,221.69,6
caribbean,american,77.32,1801.16,887.91,4
caribbean,american,74.35,542.66,211.44,4
caribbean,american,77.32,349.38,266.18,5
caribbean,mexican,86.59,165.25,101.45,8
caribbean,american,217.07,34.17,134.74,5
caribbean,american,179.32,120.49,36.67999999999999,5
caribbean,nordic,102.48,104.16,59.07,2
caribbean,american,68.94,227.74,168.98,5
caribbean,american,134.14,55.22,177.0,5
caribbean,american,107.14,93.45,137.29,5
caribbean,american,3.260000000000005,7.349999999999994,89.83,5
caribbean,british,56.05,119.56,118.16,5
caribbean,american,104.28,42.670000000000016,56.99,5
caribbean,american,16.289999999999992,154.99,89.99,5
caribbean,american,459.83,289.66,200.26,4
caribbean,mexican,168.06,206.21,137.17,8
caribbean,mexican,33.3,254.57,86.36,8
caribbean,american,52.41,149.85,387.32,5
caribbean,italian,39.65,112.8,58.12,6
caribbean,middle eastern,237.66,213.88,158.28,7
caribbean,mediterranean,135.57,96.94,107.04,8
caribbean,american,134.58,57.97,177.14,5
caribbean,american,44.44,15.240000000000009,93.04,5
caribbean,south east asian,69.42,349.98,61.24,2
caribbean,american,52.44,304.22,97.85,5
caribbean,italian,56.57000000000001,247.41,327.06,6
caribbean,american,29.64,509.13,144.51,5
caribbean,american,41.86,80.89,59.56,5
caribbean,american,189.77,141.35,74.16,5
caribbean,chinese,39.84,54.08,71.55,6
caribbean,french,113.18,183.36,125.59,6
caribbean,british,163.04,58.41000000000001,164.26,5
caribbean,american,334.83,207.38,333.75,4
caribbean,chinese,116.43,52.09,87.92,6
caribbean,mediterranean,121.64,74.55,135.13,8
caribbean,french,18.840000000000003,183.47,311.62,6
caribbean,mexican,68.47,66.7,85.65,8
caribbean,american,63.76,267.66,229.85,5
caribbean,american,23.049999999999997,281.18,165.66,5
caribbean,american,114.59,106.71,89.4,5
caribbean,american,58.83,330.85,126.65,5
caribbean,italian,377.65,125.61,194.55,6
caribbean,american,58.81,194.28,185.23,5
caribbean,french,97.49,280.14,228.11,6
caribbean,american,38.20000000000001,228.92,94.83,5
caribbean,mediterranean,49.16,188.97,182.14,8
caribbean,mexican,99.33,50.03,102.87,8
caribbean,american,66.68,45.64,31.42,5
caribbean,mexican,17.83,143.96,192.82,8
caribbean,american,24.39,145.01,97.33,5
caribbean,french,173.53,188.85,75.26,6
caribbean,american,25.62999999999999,137.31,38.5,5
caribbean,chinese,61.72,116.82,136.47,6
caribbean,american,3.5,19.569999999999993,13.980000000000004,5
caribbean,mediterranean,501.65,312.39,58.06,7
caribbean,italian,148.98,115.06,187.38,6
caribbean,eastern europe,110.57,36.40000000000002,308.95,6
caribbean,french,25.320000000000007,148.79,102.31,6
caribbean,italian,175.1,129.3,475.09,6
caribbean,italian,164.08,310.6,220.29,6
caribbean,american,396.66,91.97,209.04,5
caribbean,italian,46.14,368.64,187.19,6
caribbean,french,96.67,110.45,253.55,6
caribbean,central europe,44.13,80.3,340.69,5
caribbean,american,51.65,88.85999999999999,137.28,5
caribbean,chinese,88.59,102.88,60.78,6
caribbean,american,33.75,350.04,119.19,5
caribbean,italian,47.68,72.73,92.86,6
caribbean,french,409.4,101.9,415.15,6
caribbean,italian,165.49,354.68,259.89,6
caribbean,asian,53.5,90.16,45.209999999999994,5
caribbean,japanese,94.91,24.03,95.1,6
caribbean,french,63.83,61.93000000000001,58.2,6
caribbean,american,73.79,27.349999999999994,199.7,5
caribbean,american,80.9,762.78,525.09,4
caribbean,american,123.97,173.48,208.48,5
caribbean,american,106.07,148.46,94.71,5
caribbean,british,91.77,24.629999999999995,144.03,5
caribbean,mexican,88.18,55.099999999999994,173.29,8
caribbean,american,109.97,342.18,267.62,5
caribbean,mediterranean,76.25,59.59,119.56,8
caribbean,american,106.52,38.99000000000002,136.13,5
caribbean,french,39.51,390.78,125.83,6
caribbean,italian,37.870000000000005,78.72,76.18,6
caribbean,french,119.06,196.4,78.45,6
caribbean,italian,76.95,440.95,38.480000000000004,6
caribbean,american,401.69,121.06,139.12,5
caribbean,south east asian,269.34,125.64,294.69,2
caribbean,mediterranean,18.060000000000002,64.11,53.22,8
caribbean,french,21.569999999999993,53.33,61.7,6
caribbean,central europe,69.49,539.28,261.39,4
caribbean,american,160.42,229.01,71.05,5
caribbean,mexican,96.02,119.74,160.31,8
caribbean,eastern europe,264.4200000000001,103.62,53.3,6
caribbean,mediterranean,213.27,102.46,223.15,7
caribbean,american,68.1,167.94,194.8,5
caribbean,american,138.21,63.620000000000005,412.64,5
caribbean,american,14.519999999999996,183.36,14.790000000000006,5
caribbean,american,7.280000000000001,129.89,17.14,5
caribbean,middle eastern,228.34,43.52000000000001,254.59999999999997,7
caribbean,south east asian,83.95,55.81,106.65,2
caribbean,french,62.8,401.12,322.08,6
caribbean,french,134.16,102.85,229.66,6
caribbean,american,43.68,202.08,326.55,5
caribbean,american,27.510000000000012,196.21,99.15,5
caribbean,italian,170.51,373.02,129.07,6
caribbean,south east asian,99.35,18.370000000000005,59.84,2
caribbean,french,93.25,154.98,219.75,6
caribbean,american,331.51,114.76,148.97,5
caribbean,french,60.6,81.73,167.05,6
caribbean,american,0.9000000000000057,54.56,2.6400000000000006,5
caribbean,mexican,169.37,36.62999999999998,87.69,8
caribbean,asian,55.86,114.48,45.35000000000001,5
caribbean,american,85.89,119.62,200.22,5
caribbean,american,6.569999999999993,43.3,50.35000000000001,5
caribbean,american,64.53,66.96,87.66,5
caribbean,american,45.65,218.51,201.1,5
caribbean,indian,145.17,73.29,215.96,6
caribbean,mediterranean,3.280000000000001,107.24,0.730000000000004,8
caribbean,french,25.330000000000005,57.47999999999999,97.11,6
caribbean,italian,134.66,68.36,106.66,6
caribbean,american,91.33,107.34,96.42,5
caribbean,mexican,81.13,112.58,113.68,8
caribbean,british,94.02,11.860000000000014,99.36,5
caribbean,american,109.75,71.12,269.2,5
caribbean,american,7.840000000000003,117.07,3.4200000000000017,5
caribbean,french,76.19,8.310000000000002,153.07,6
caribbean,italian,188.18,157.29,267.62,6
caribbean,american,43.32,176.95,400.96,5
caribbean,french,8.340000000000003,67.08,85.75,6
caribbean,american,35.46,39.47,97.69,5
caribbean,american,153.16,142.11,192.3,5
caribbean,south american,248.4,78.44,162.33,2
caribbean,american,51.65,88.85999999999999,137.28,5
caribbean,american,11.329999999999998,29.239999999999995,15.900000000000006,5
caribbean,american,322.74,131.92,284.0,4
caribbean,nordic,79.44,94.82,134.03,2
caribbean,american,189.59,221.23,116.19,5
caribbean,asian,326.04,104.56,155.59,5
caribbean,american,129.5,391.87,152.99,5
caribbean,american,23.340000000000003,4.530000000000001,17.989999999999995,5
caribbean,italian,215.7,128.63,216.47,6
caribbean,south east asian,496.2,2023.05,211.1,7
caribbean,central europe,11.329999999999998,29.239999999999995,15.900000000000006,5
caribbean,british,37.99,118.13,102.82,5
caribbean,american,171.73,52.28,107.51,5
caribbean,american,18.180000000000007,90.25999999999999,1.6200000000000045,5
caribbean,french,74.19,289.85,81.62,6
caribbean,mexican,274.38,240.62,219.7,7
caribbean,american,2.4099999999999966,5.6299999999999955,92.42,5
caribbean,american,46.37,12.169999999999987,56.94,5
caribbean,american,1.6700000000000017,38.66000000000001,82.05,5
caribbean,mexican,161.98,20.539999999999992,307.48,8
caribbean,italian,6.019999999999996,19.0,18.58,6
caribbean,american,123.49,333.49,133.61,5
caribbean,american,189.23,75.63,35.10000000000001,5
caribbean,american,56.28,5.319999999999993,47.739999999999995,5
caribbean,british,140.43,80.35,297.8,5
caribbean,italian,52.06,181.35,205.06,6
caribbean,italian,89.94,54.81,119.82,6
caribbean,italian,109.12,94.35,95.42,6
caribbean,mediterranean,133.75,39.860000000000014,157.09,8
caribbean,american,8.530000000000001,210.51,9.790000000000006,5
caribbean,italian,97.03,203.4,62.14,6
caribbean,south american,12.260000000000005,45.88000000000001,30.14999999999999,2
caribbean,american,21.11,155.62,225.04,5
caribbean,american,33.66,81.57,148.1,5
caribbean,american,13.0,107.78,15.659999999999997,5
caribbean,american,83.4,29.789999999999992,24.429999999999993,5
caribbean,american,17.650000000000006,293.51,94.4,5
caribbean,american,83.81,336.47,357.93,4
caribbean,american,1142.58,693.6399999999999,287.86,4
caribbean,italian,22.620000000000005,127.17,104.56,6
caribbean,south american,245.48,17.889999999999986,340.43,2
caribbean,french,24.46,27.76000000000002,27.959999999999994,6
caribbean,american,7.260000000000005,35.93000000000001,11.89,5
caribbean,british,75.17,48.099999999999994,183.37,5
caribbean,italian,88.13,161.76,115.41,6
caribbean,american,12.170000000000002,97.45000000000002,76.12,5
caribbean,american,75.26,371.75,313.13,4
caribbean,italian,112.99,285.71,98.15,6
caribbean,american,13.370000000000005,37.94,68.16,5
caribbean,italian,31.36,15.699999999999989,39.44,6
caribbean,american,105.57,129.65,146.59,5
caribbean,french,72.14,306.66,36.59,6
caribbean,british,146.61,79.92,50.85000000000001,5
caribbean,italian,69.78,25.200000000000017,204.3,6
caribbean,nordic,97.13,35.099999999999994,101.67,2
caribbean,american,170.68,144.12,180.71,5
caribbean,italian,194.66999999999996,26.260000000000005,91.92,6
caribbean,american,22.640000000000008,205.97,170.65,5
caribbean,american,34.18,10.400000000000006,69.54,5
caribbean,mediterranean,25.78,17.189999999999998,40.92,8
caribbean,chinese,150.64,79.08,369.91,6
caribbean,french,11.61,39.2,41.13000000000001,6
caribbean,american,12.340000000000003,39.50999999999999,16.730000000000004,5
caribbean,french,42.76,169.71,181.61,6
caribbean,american,70.14,355.31000000000006,243.27999999999997,5
caribbean,american,92.31,26.340000000000003,2.4599999999999937,5
caribbean,nordic,60.01,22.5,112.86,2
caribbean,italian,52.86999999999999,4.099999999999994,29.950000000000003,6
caribbean,british,145.04,1545.27,177.4,4
caribbean,american,60.92,6.009999999999991,118.36,5
caribbean,italian,242.04,87.12,190.75,6
caribbean,french,39.65,23.860000000000014,56.10000000000001,6
caribbean,american,250.91,134.81,185.31,5
caribbean,french,147.55,133.02,214.67,6
caribbean,italian,4.450000000000003,56.469999999999985,1.7600000000000051,6
caribbean,nordic,103.94,25.78,75.84,2
caribbean,italian,91.36,208.4,50.82000000000001,6
caribbean,eastern europe,104.61,60.00999999999999,231.37,6
caribbean,central europe,13.909999999999997,131.15,48.709999999999994,5
caribbean,british,15.670000000000002,41.91,94.91,5
caribbean,mexican,103.22,54.17999999999999,123.51,8
caribbean,mediterranean,122.29,4.810000000000002,31.89999999999999,8
caribbean,american,97.52,21.400000000000006,145.98,5
caribbean,chinese,257.78,119.4,274.45,6
caribbean,mediterranean,316.98,3.680000000000007,246.05,7
caribbean,american,8.659999999999997,77.46,114.72,5
caribbean,american,410.45,209.84,349.93,4
caribbean,british,15.170000000000002,104.57,12.730000000000004,5
caribbean,american,39.1,51.14,65.66,5
caribbean,south american,3.3499999999999943,37.47999999999999,131.84,2
caribbean,french,19.39,113.88,103.46,6
caribbean,french,29.260000000000005,9.680000000000007,63.3,6
caribbean,american,42.37,280.53,224.06,5
caribbean,american,20.36,104.02,17.129999999999995,5
caribbean,american,17.099999999999994,26.489999999999995,77.37,5
caribbean,american,63.18,146.69,32.84,5
caribbean,american,405.14,202.29,455.75,4
caribbean,italian,67.07,37.59,43.58,6
caribbean,italian,113.5,84.51,32.34,6
caribbean,american,22.760000000000005,128.52,30.379999999999995,5
caribbean,chinese,120.87,99.95000000000002,62.06,6
caribbean,british,5.439999999999998,33.63000000000001,7.980000000000004,5
caribbean,italian,91.7,90.28,103.95,6
caribbean,italian,56.6,119.61,63.87,6
caribbean,american,238.58,46.120000000000005,164.79,5
caribbean,american,231.51,92.06,376.33,4
caribbean,south american,11.349999999999994,83.85,73.27,2
